Column1;Column2;Column3;Column4
File;Left Context;Hit;Right Context
ID2010905300_2023-06-15_AfD.txt;Ächtung – zu Weltoffenheit, Toleranz, Antidiskriminierung, ;Genderideologie ;und sogenanntem Antifaschismus – das 
ID2013016300_2023-10-18_CDU_CSU.txt;Das ist definitiv nicht die ;Genderideologie, ;und das müssen Sie 
ID2014106900_2023-11-30_AfD.txt;und Schule durch links-grüne ;Genderideologie ;und Frühsexualisierungsfantasien missbraucht wird? 
ID2013016300_2023-10-18_CDU_CSU.txt;Recht zitiert haben. Das ist ;Genderideologie, ;und daraus folgt dann 
ID2020401400_2024-12-06_BSW.txt;BSW sagen hier klar: Keine ;Genderideologie ;und Transideologie auf Kosten 
ID2019702800_2024-11-07_AfD.txt;unseren Kindern kritische Rassentheorie, radikale ;Genderideologie ;und andere sexuelle und 
ID214504000_2025-11-28_AfD.txt;aber vollgestopft mit Klima- und ;Genderideologie ;und überteuert dazu. Ich 
ID1824104800_2017-06-23_DIE_LINKE.txt;einen Feldzug gegen die vermeintliche ;Genderideologie ;und gegen die Gleichstellung, 
ID2013015600_2023-10-18_AfD.txt;dargebracht auf dem Altar der ;Genderideologie. ;Die Akzeptanz dieser Eingriffe 
ID1922711000_2021-05-06_AfD.txt;ein Institut zur Förderung der ;Genderideologie – ;die der Bibel widerspricht! – 
ID2013015600_2023-10-18_AfD.txt;als Wissenschaft bezeichnen als diese ;Genderideologie. ;Die gesamte Genderideologie, meine 
ID204110700_2022-06-02_AfD.txt;Das ist eher eine perverse ;Genderideologie, ;die statt wissenschaftlicher Erkenntnisse 
ID2014314600_2023-12-13_AfD.txt;an deutschem Steuergeld geförderte zerstörerische ;Genderideologie, ;die bereits Minderjährige zur 
ID202503200_2022-03-24_AfD.txt;alle Ausgaben zur Durchsetzung der ;Genderideologie ;oder für den fiktiven 
ID1921814700_2021-03-25_AfD.txt;die Vertreter der links-grünen ;Genderideologie ;oder die Macher des 
ID194215700_2018-06-28_AfD.txt;Ich sage nur: Euro-Wahnsinn, ;Genderideologie ;oder Pseudoflüchtlinge. Meine Damen 
ID2017800500_2024-06-27_AfD.txt;Leben statt abstrakter Themen wie ;Genderideologie ;oder das Wetter in 100 
ID2017413600_2024-06-12_AfD.txt;von der rot-grünen, familienfeindlichen ;Transgenderideologie. ;Aber auch die Union 
ID2013016400_2023-10-18_BÜNDNIS_90_DIE_GRÜNEN.txt;Zweigeschlechtlichkeit und von einer vermeintlichen ;Genderideologie, ;aber Sie argumentieren die 
ID2013016100_2023-10-18_FDP.txt;AfD zu den Gefahren der ;Genderideologie, ;der hier vorliegt, ist, 
ID191204000_2018-02-02_AfD.txt;weltweit angelegter Aktionsplan, um der ;Genderideologie, ;der Inklusionsideologie und der 
ID2013016300_2023-10-18_CDU_CSU.txt;dominiert. Das ist diese aggressive ;Genderideologie. ;Sie werden mit dieser 
ID2013015700_2023-10-18_SPD.txt;zu werden, von einer „perversen ;Genderideologie“. ;Sie nennen das BMBF 
ID214614400_2025-12-03_AfD.txt;Land lassen wollen und die ;Genderideologie ;ablehnen, dann darf man 
ID2017413600_2024-06-12_AfD.txt;stuft jegliche Kritik an der ;Genderideologie ;als gruppenbezogene Menschenfeindlichkeit ein. 
ID201704400_2022-02-17_AfD.txt;Sie fast alle hier der ;Genderideologie ;anhängen. Sie behaupten, das 
ID194302300_2018-06-29_AfD.txt;Mainstreaming, das den Aberwitz der ;Genderideologie ;auch in seriöse Forschungsfelder 
ID2012803500_2023-10-12_AfD.txt;Staaten eine Art links-grüne ;Genderideologie ;"auferlegen will; der Agenda 2030, "
ID193206100_2018-05-16_AfD.txt;tun als die Förderung der ;Genderideologie. ;Außerdem ist nicht nachvollziehbar, 
