Column1;Column2;Column3;Column4
File;Left Context;Hit;Right Context
ID194902300_2018-09-13_AfD.txt;für ideologische Unsinnsprojekte wie Energiewende, ;Genderwahn ;und Euro-Rettung sowie 
ID2021202100_2025-02-11_fraktionslos.txt;auch bei uns vom Klimawahnsinn, ;Genderwahnsinn ;und Migrationsirrsinn wegzugehen, wenn 
ID2014801800_2024-01-19_fraktionslos.txt;illegale Masseneinwanderung in die Sozialsysteme, ;Genderwahnsinn ;und Bildungsmisere, schrittweise Zerstörung 
ID213318900_2025-10-15_AfD.txt;versenken Abermilliarden in Klima-Voodoo, ;Genderwahn ;und Kriege fremder Staaten 
ID1915001100_2020-03-06_CDU_CSU.txt;Thema Gewalt. Es ist kein ;Genderwahn, ;zu erwähnen, dass jeden 
ID1915001100_2020-03-06_CDU_CSU.txt;wird. Es ist auch kein ;Genderwahn, ;zu erwähnen, dass 40 Prozent 
ID1915001100_2020-03-06_CDU_CSU.txt;haben. Es ist auch kein ;Genderwahn, ;zu sagen, dass in 
ID19706500_2018-01-18_CDU_CSU.txt;Wahlprogramm es ist, den angeblichen ;Genderwahn ;zu beenden sowie das 
ID1824105000_2017-06-23_BÜNDNIS_90_DIE_GRÜNEN.txt;Rechte mobilisieren gegen den angeblichen ;Genderwahn, ;das Selbstbestimmungsrecht von Frauen, 
ID2011116100_2023-06-21_SPD.txt;sind wir alle unterjocht vom ;Genderwahn. ;Das Ganze wird auch 
ID21912700_2025-06-04_AfD.txt;Massenmigration, der Klimaideologie und dem ;Genderwahn ;die Rote Karte gezeigt. 
ID1923619700_2021-06-24_SPD.txt;gleich vom oben herab diktierten „;Genderwahn“ ;die Rede. Auch in 
ID201703800_2022-02-17_AfD.txt;geht es eben nicht um ;Genderwahn ;oder darum, wie man 
ID1915000200_2020-03-06_AfD.txt;geht es aber nicht um ;Genderwahn ;oder darum, wie man 
ID2011116100_2023-06-21_SPD.txt;wäre eine Art Kreuzzug des ;"Genderwahns; ";aber Sie sind selbst 
ID192701000_2018-04-20_AfD.txt;von mittelalterlichen Religionsvorstellungen bis zum ;Genderwahn –, ;ahnen wir, was das 
ID1915001100_2020-03-06_CDU_CSU.txt;von der AfD hat den „;Genderwahn“ ;angesprochen. Dann bin ich 
ID191306900_2018-02-21_SPD.txt;Engagement in dieser Hinsicht als ;Genderwahn ;bezeichnet und eine Debatte 
ID1823701300_2017-06-01_nan.txt;machen will und Gleichberechtigung als ;Genderwahn ;bezeichnet. Ich bitte alle, 
ID2011116400_2023-06-21_DIE_LINKE.txt;Linksfraktion wichtiger sind als der ;Genderwahn ;der AfD: Alles wird 
ID2013015700_2023-10-18_SPD.txt;in Ihrer Welt hat der ;Genderwahn ;ja schon Schulen und 
ID2011116400_2023-06-21_DIE_LINKE.txt;alle ganz hibbelig? Ehrlich, Ihr ;Genderwahn ;macht mir langsam echt 
ID207904800_2023-01-19_AfD.txt;nicht gesprochen vom staatlich geförderten ;Genderwahn, ;mit dem selbst Kinder 
ID191306600_2018-02-21_DIE_LINKE.txt;die überall gegen den sogenannten ;Genderwahn ;polemisiert, spielen sich als 
ID1920906000_2021-02-11_CDU_CSU.txt;die AfD als Stopp des ;Genderwahns ;propagiert, wäre ein gefährlicher 
ID2012219800_2023-09-21_AfD.txt;Werte der Thora gegen den ;Genderwahn ;verteidigt, der konservativ denkt, 
ID1920211000_2020-12-17_CDU_CSU.txt;durch den sogenannten Stopp des ;Genderwahns, ;wie ihn die AfD 
