rede_id,sitzung_datum,sitzung_jahr,redner_fraktion,sentiment,sentiment.norm
ID1807800700,2015-01-14,2015,CDU/CSU,-1,-0.0041841004184100415
ID1807902700,2015-01-15,2015,CDU/CSU,20,0.017123287671232876
ID1807904800,2015-01-15,2015,SPD,-16,-0.018327605956471937
ID1807906400,2015-01-15,2015,CDU/CSU,9,0.00897308075772682
ID1807907200,2015-01-15,2015,BÜNDNIS 90/DIE GRÜNEN,10,0.014450867052023121
ID1807910500,2015-01-15,2015,DIE LINKE,-10,-0.022321428571428572
ID1808001500,2015-01-16,2015,BÜNDNIS 90/DIE GRÜNEN,-2,-0.002442002442002442
ID1808001700,2015-01-16,2015,DIE LINKE,-2,-0.0016570008285004142
ID1808003500,2015-01-16,2015,NA,33,0.03101503759398496
ID1808200700,2015-01-29,2015,BÜNDNIS 90/DIE GRÜNEN,-8,-0.008592910848549946
ID1808200900,2015-01-29,2015,CDU/CSU,-12,-0.010362694300518135
ID1808205900,2015-01-29,2015,NA,3,0.0016025641025641025
ID1808207200,2015-01-29,2015,CDU/CSU,7,0.015765765765765764
ID1808209700,2015-01-29,2015,BÜNDNIS 90/DIE GRÜNEN,-2,-0.002717391304347826
ID1808301300,2015-01-30,2015,NA,-11,-0.0034129692832764505
ID1808301800,2015-01-30,2015,SPD,23,0.007212292254625274
ID1808301900,2015-01-30,2015,BÜNDNIS 90/DIE GRÜNEN,-41,-0.009477577438742488
ID1808302000,2015-01-30,2015,CDU/CSU,-9,-0.004734350341925302
ID1808501000,2015-02-05,2015,CDU/CSU,42,0.02359550561797753
ID1808504500,2015-02-05,2015,BÜNDNIS 90/DIE GRÜNEN,2,0.0032310177705977385
ID1808507300,2015-02-05,2015,SPD,21,0.053164556962025315
ID1808509000,2015-02-05,2015,BÜNDNIS 90/DIE GRÜNEN,-2,-0.003305785123966942
ID1808600100,2015-02-06,2015,SPD,18,0.01245674740484429
ID1808600300,2015-02-06,2015,CDU/CSU,18,0.015113350125944584
ID1808602300,2015-02-06,2015,SPD,16,0.017977528089887642
ID1808700100,2015-02-25,2015,NA,18,0.0335195530726257
ID1808802000,2015-02-26,2015,BÜNDNIS 90/DIE GRÜNEN,-11,-0.012925969447708578
ID1808803100,2015-02-26,2015,DIE LINKE,-2,-0.00425531914893617
ID1808808900,2015-02-26,2015,CDU/CSU,13,0.016129032258064516
ID1808904400,2015-02-27,2015,CDU/CSU,2,0.002306805074971165
ID1809001500,2015-03-04,2015,SPD,-2,-0.0106951871657754
ID1809004700,2015-03-04,2015,DIE LINKE,-2,-0.0035211267605633804
ID1809005100,2015-03-04,2015,SPD,19,0.0260989010989011
ID1809105500,2015-03-05,2015,CDU/CSU,3,0.004665629860031105
ID1809105600,2015-03-05,2015,BÜNDNIS 90/DIE GRÜNEN,5,0.0078125
ID1809105700,2015-03-05,2015,SPD,-12,-0.018957345971563982
ID1809106000,2015-03-05,2015,SPD,23,0.023092369477911646
ID1809107000,2015-03-05,2015,CDU/CSU,25,0.04562043795620438
ID1809108900,2015-03-05,2015,SPD,11,0.019642857142857142
ID1809110300,2015-03-05,2015,DIE LINKE,0,0
ID1809111000,2015-03-05,2015,BÜNDNIS 90/DIE GRÜNEN,10,0.021739130434782608
ID1809111200,2015-03-05,2015,DIE LINKE,-7,-0.014583333333333334
ID1809200500,2015-03-06,2015,SPD,3,0.005415162454873646
ID1809201400,2015-03-06,2015,CDU/CSU,22,0.021032504780114723
ID1809201500,2015-03-06,2015,SPD,-10,-0.009852216748768473
ID1809400400,2015-03-19,2015,BÜNDNIS 90/DIE GRÜNEN,4,0.0038797284190106693
ID1809400800,2015-03-19,2015,SPD,-2,-0.002828854314002829
ID1809406500,2015-03-19,2015,SPD,-16,-0.030710172744721688
ID1809408900,2015-03-19,2015,NA,8,0.012987012987012988
ID1809410300,2015-03-19,2015,SPD,5,0.0070126227208976155
ID1809411900,2015-03-19,2015,DIE LINKE,-6,-0.019672131147540985
ID1809500200,2015-03-20,2015,DIE LINKE,14,0.015677491601343786
ID1809501600,2015-03-20,2015,BÜNDNIS 90/DIE GRÜNEN,-23,-0.02415966386554622
ID1809502100,2015-03-20,2015,CDU/CSU,11,0.014705882352941176
ID1809503500,2015-03-20,2015,CDU/CSU,7,0.009655172413793104
ID1809503600,2015-03-20,2015,BÜNDNIS 90/DIE GRÜNEN,6,0.009836065573770493
ID1809503700,2015-03-20,2015,SPD,26,0.040880503144654086
ID1809700700,2015-03-26,2015,CDU/CSU,18,0.027692307692307693
ID1809707800,2015-03-26,2015,CDU/CSU,7,0.00880503144654088
ID1809802700,2015-03-27,2015,CDU/CSU,-1,-0.0012376237623762376
ID1809803400,2015-03-27,2015,CDU/CSU,7,0.011093502377179081
ID1810001800,2015-04-23,2015,CDU/CSU,21,0.024676850763807285
ID1810003500,2015-04-23,2015,SPD,6,0.008174386920980926
ID1810005200,2015-04-23,2015,NA,25,0.03793626707132018
ID1810005400,2015-04-23,2015,SPD,24,0.02330097087378641
ID1810006500,2015-04-23,2015,DIE LINKE,-11,-0.015427769985974754
ID1810011000,2015-04-23,2015,CDU/CSU,-4,-0.0076481835564053535
ID1810011100,2015-04-23,2015,SPD,2,0.0014492753623188406
ID1810103800,2015-04-24,2015,SPD,23,0.03479576399394856
ID1810106000,2015-04-24,2015,BÜNDNIS 90/DIE GRÜNEN,5,0.008156606851549755
ID1810302000,2015-05-07,2015,CDU/CSU,24,0.026578073089700997
ID1810302700,2015-05-07,2015,CDU/CSU,28,0.024369016536118365
ID1810303600,2015-05-07,2015,SPD,4,0.004550625711035267
ID1810304500,2015-05-07,2015,DIE LINKE,17,0.027960526315789474
ID1810305000,2015-05-07,2015,BÜNDNIS 90/DIE GRÜNEN,8,0.010178117048346057
ID1810308000,2015-05-07,2015,SPD,29,0.038157894736842106
ID1810400800,2015-05-08,2015,CDU/CSU,38,0.040042149631190724
ID1810401000,2015-05-08,2015,BÜNDNIS 90/DIE GRÜNEN,1,0.0012690355329949238
ID1810401100,2015-05-08,2015,CDU/CSU,1,8.389261744966443e-4
ID1810401200,2015-05-08,2015,DIE LINKE,13,0.014874141876430207
ID1810505500,2015-05-20,2015,CDU/CSU,-4,-0.006711409395973154
ID1810600400,2015-05-21,2015,SPD,22,0.015373864430468204
ID1810601000,2015-05-21,2015,CDU/CSU,-9,-0.008426966292134831
ID1810602600,2015-05-21,2015,CDU/CSU,19,0.02144469525959368
ID1810604000,2015-05-21,2015,SPD,5,0.00727802037845706
ID1810606701,2015-05-21,2015,CDU/CSU,10,0.01824817518248175
ID1810608500,2015-05-21,2015,SPD,0,0
ID1810609300,2015-05-21,2015,CDU/CSU,0,0
ID1810611100,2015-05-21,2015,CDU/CSU,9,0.02903225806451613
ID1810702400,2015-05-22,2015,CDU/CSU,26,0.03523035230352303
ID1810900100,2015-06-11,2015,NA,25,0.027085590465872156
ID1810900500,2015-06-11,2015,SPD,21,0.0327613104524181
ID1810903300,2015-06-11,2015,SPD,21,0.030303030303030304
ID1810904900,2015-06-11,2015,CDU/CSU,-11,-0.013033175355450236
ID1810906900,2015-06-11,2015,CDU/CSU,-3,-0.0031446540880503146
ID1810908900,2015-06-11,2015,SPD,12,0.026030368763557483
ID1810911100,2015-06-11,2015,CDU/CSU,-11,-0.021400778210116732
ID1811000300,2015-06-12,2015,SPD,-5,-0.003918495297805642
ID1811000400,2015-06-12,2015,BÜNDNIS 90/DIE GRÜNEN,-4,-0.004705882352941176
ID1811001600,2015-06-12,2015,BÜNDNIS 90/DIE GRÜNEN,-15,-0.016930022573363433
ID1811200200,2015-06-18,2015,DIE LINKE,-44,-0.02558139534883721
ID1811205700,2015-06-18,2015,BÜNDNIS 90/DIE GRÜNEN,5,0.007320644216691069
ID1811206100,2015-06-18,2015,DIE LINKE,-11,-0.013613861386138614
ID1811207300,2015-06-18,2015,BÜNDNIS 90/DIE GRÜNEN,-5,-0.007267441860465116
ID1811209500,2015-06-18,2015,DIE LINKE,0,0
ID1811211900,2015-06-18,2015,SPD,12,0.012207527975584944
ID1811213600,2015-06-18,2015,BÜNDNIS 90/DIE GRÜNEN,-11,-0.012443438914027148
ID1811213700,2015-06-18,2015,CDU/CSU,-8,-0.016194331983805668
ID1811214900,2015-06-18,2015,BÜNDNIS 90/DIE GRÜNEN,3,0.004830917874396135
ID1811300400,2015-06-19,2015,CDU/CSU,9,0.037037037037037035
ID1811304200,2015-06-19,2015,BÜNDNIS 90/DIE GRÜNEN,-11,-0.015068493150684932
ID1811304400,2015-06-19,2015,BÜNDNIS 90/DIE GRÜNEN,4,0.020942408376963352
ID1811304600,2015-06-19,2015,DIE LINKE,1,0.001694915254237288
ID1811304700,2015-06-19,2015,SPD,3,0.00425531914893617
ID1811400100,2015-07-01,2015,NA,13,0.011120615911035072
ID1811400500,2015-07-01,2015,CDU/CSU,-23,-0.011494252873563218
ID1811501100,2015-07-02,2015,CDU/CSU,-1,-0.0018248175182481751
ID1811503000,2015-07-02,2015,CDU/CSU,10,0.012330456226880395
ID1811508500,2015-07-02,2015,BÜNDNIS 90/DIE GRÜNEN,-4,-0.005641748942172073
ID1811512300,2015-07-02,2015,SPD,-21,-0.025119617224880382
ID1811518500,2015-07-02,2015,CDU/CSU,5,0.014044943820224719
ID1811600300,2015-07-03,2015,SPD,38,0.021372328458942633
ID1811601200,2015-07-03,2015,CDU/CSU,10,0.01240694789081886
ID1811601400,2015-07-03,2015,SPD,13,0.018544935805991442
ID1811602600,2015-07-03,2015,NA,15,0.018564356435643563
ID1811603800,2015-07-03,2015,SPD,8,0.016842105263157894
ID1811700200,2015-07-17,2015,DIE LINKE,-27,-0.018620689655172412
ID1811702100,2015-07-17,2015,SPD,-5,-0.00471253534401508
ID1811705900,2015-07-17,2015,SPD,-3,-0.009966777408637873
ID1811706100,2015-07-17,2015,SPD,-9,-0.006944444444444444
ID1811706600,2015-07-17,2015,SPD,-8,-0.03755868544600939
ID1811707200,2015-07-17,2015,SPD,-34,-0.035416666666666666
ID1811707400,2015-07-17,2015,SPD,-10,-0.008110300081103
ID1811707500,2015-07-17,2015,SPD,-8,-0.015151515151515152
ID1811708100,2015-07-17,2015,SPD,7,0.02
ID1811800100,2015-08-19,2015,CDU/CSU,29,0.013248058474189127
ID1811800200,2015-08-19,2015,DIE LINKE,-28,-0.017643352236925015
ID1811803000,2015-08-19,2015,SPD,7,0.00720164609053498
ID1811900100,2015-09-08,2015,NA,84,0.022322614934892373
ID1811902100,2015-09-08,2015,BÜNDNIS 90/DIE GRÜNEN,2,0.003257328990228013
ID1812002700,2015-09-09,2015,SPD,2,0.0035211267605633804
ID1812004200,2015-09-09,2015,NA,18,0.011673151750972763
ID1812004900,2015-09-09,2015,BÜNDNIS 90/DIE GRÜNEN,-4,-0.00477326968973747
ID1812005200,2015-09-09,2015,CDU/CSU,22,0.023206751054852322
ID1812100300,2015-09-10,2015,CDU/CSU,2,0.0013802622498274672
ID1812103100,2015-09-10,2015,CDU/CSU,37,0.026466380543633764
ID1812104100,2015-09-10,2015,CDU/CSU,28,0.02422145328719723
ID1812104300,2015-09-10,2015,DIE LINKE,-1,-0.0011507479861910242
ID1812104600,2015-09-10,2015,CDU/CSU,18,0.017408123791102514
ID1812105900,2015-09-10,2015,BÜNDNIS 90/DIE GRÜNEN,0,0
ID1812106500,2015-09-10,2015,CDU/CSU,19,0.01553556827473426
ID1812201100,2015-09-11,2015,CDU/CSU,6,0.007050528789659225
ID1812202700,2015-09-11,2015,CDU/CSU,23,0.01910299003322259
ID1812203700,2015-09-11,2015,CDU/CSU,18,0.020316027088036117
ID1812302100,2015-09-23,2015,NA,-2,-0.018018018018018018
ID1812400200,2015-09-24,2015,DIE LINKE,-19,-0.018199233716475097
ID1812401200,2015-09-24,2015,CDU/CSU,17,0.02702702702702703
ID1812401600,2015-09-24,2015,CDU/CSU,10,0.006920415224913495
ID1812401900,2015-09-24,2015,CDU/CSU,14,0.012367491166077738
ID1812403000,2015-09-24,2015,CDU/CSU,14,0.015384615384615385
ID1812406900,2015-09-24,2015,CDU/CSU,-3,-0.016042780748663103
ID1812411000,2015-09-24,2015,NA,9,0.022004889975550123
ID1812412600,2015-09-24,2015,CDU/CSU,7,0.014056224899598393
ID1812500400,2015-09-25,2015,BÜNDNIS 90/DIE GRÜNEN,14,0.01376597836774828
ID1812500900,2015-09-25,2015,SPD,18,0.031578947368421054
ID1812501200,2015-09-25,2015,CDU/CSU,7,0.0052750565184626974
ID1812503900,2015-09-25,2015,DIE LINKE,17,0.018826135105204873
ID1812700100,2015-10-01,2015,NA,28,0.019621583742116328
ID1812707300,2015-10-01,2015,SPD,13,0.0202808112324493
ID1812709200,2015-10-01,2015,DIE LINKE,2,0.004608294930875576
ID1812710200,2015-10-01,2015,CDU/CSU,2,0.0035842293906810036
ID1812800200,2015-10-02,2015,DIE LINKE,-24,-0.01282051282051282
ID1812800400,2015-10-02,2015,BÜNDNIS 90/DIE GRÜNEN,0,0
ID1812802400,2015-10-02,2015,CDU/CSU,-17,-0.01313755795981453
ID1812803900,2015-10-02,2015,CDU/CSU,51,0.05472103004291846
ID1812804300,2015-10-02,2015,SPD,17,0.03046594982078853
ID1813004700,2015-10-15,2015,CDU/CSU,4,0.007220216606498195
ID1813005900,2015-10-15,2015,SPD,0,0
ID1813006000,2015-10-15,2015,CDU/CSU,12,0.020442930153321975
ID1813008100,2015-10-15,2015,NA,6,0.008152173913043478
ID1813009700,2015-10-15,2015,SPD,6,0.007389162561576354
ID1813011100,2015-10-15,2015,SPD,0,0
ID1813011200,2015-10-15,2015,SPD,-1,-4.6948356807511736e-4
ID1813013000,2015-10-15,2015,CDU/CSU,11,0.028132992327365727
ID1813013500,2015-10-15,2015,CDU/CSU,-3,-0.0075
ID1813100200,2015-10-16,2015,DIE LINKE,-10,-0.008756567425569177
ID1813102100,2015-10-16,2015,SPD,21,0.030927835051546393
ID1813300600,2015-11-05,2015,DIE LINKE,3,0.005434782608695652
ID1813301900,2015-11-05,2015,SPD,21,0.017369727047146403
ID1813308600,2015-11-05,2015,BÜNDNIS 90/DIE GRÜNEN,-3,-0.00510204081632653
ID1813312600,2015-11-05,2015,CDU/CSU,-1,-0.0021413276231263384
ID1813312900,2015-11-05,2015,BÜNDNIS 90/DIE GRÜNEN,-11,-0.02217741935483871
ID1813401000,2015-11-06,2015,CDU/CSU,1,0.001718213058419244
ID1813403100,2015-11-06,2015,CDU/CSU,18,0.017786561264822136
ID1813403300,2015-11-06,2015,SPD,-5,-0.0055617352614015575
ID1813403500,2015-11-06,2015,BÜNDNIS 90/DIE GRÜNEN,-3,-0.005338078291814947
ID1813403700,2015-11-06,2015,CDU/CSU,14,0.015367727771679473
ID1813404700,2015-11-06,2015,CDU/CSU,2,0.003703703703703704
ID1813406700,2015-11-06,2015,CDU/CSU,-7,-0.009549795361527967
ID1813601000,2015-11-12,2015,CDU/CSU,9,0.008662175168431183
ID1813603000,2015-11-12,2015,CDU/CSU,16,0.021164021164021163
ID1813604700,2015-11-12,2015,CDU/CSU,8,0.0087527352297593
ID1813604800,2015-11-12,2015,DIE LINKE,-2,-0.003875968992248062
ID1813605400,2015-11-12,2015,CDU/CSU,8,0.009291521486643438
ID1813606200,2015-11-12,2015,BÜNDNIS 90/DIE GRÜNEN,-9,-0.0144
ID1813611500,2015-11-12,2015,DIE LINKE,-11,-0.014157014157014158
ID1813700500,2015-11-13,2015,CDU/CSU,14,0.020771513353115726
ID1813704200,2015-11-13,2015,CDU/CSU,20,0.03466204506065858
ID1813804300,2015-11-24,2015,DIE LINKE,-1,-0.0016556291390728477
ID1813805200,2015-11-24,2015,BÜNDNIS 90/DIE GRÜNEN,5,0.00715307582260372
ID1813806100,2015-11-24,2015,CDU/CSU,31,0.03949044585987261
ID1813900300,2015-11-25,2015,BÜNDNIS 90/DIE GRÜNEN,-42,-0.01634241245136187
ID1813902100,2015-11-25,2015,NA,-9,-0.005836575875486381
ID1813902500,2015-11-25,2015,SPD,7,0.011217948717948718
ID1814002700,2015-11-26,2015,CDU/CSU,41,0.0369702434625789
ID1814200100,2015-12-02,2015,NA,-5,-0.008665511265164644
ID1814203400,2015-12-02,2015,DIE LINKE,-8,-0.013559322033898305
ID1814301000,2015-12-03,2015,SPD,-5,-0.006830601092896175
ID1814302500,2015-12-03,2015,DIE LINKE,-8,-0.010309278350515464
ID1814305500,2015-12-03,2015,SPD,2,0.003395585738539898
ID1814307500,2015-12-03,2015,BÜNDNIS 90/DIE GRÜNEN,4,0.008968609865470852
ID1814312200,2015-12-03,2015,SPD,4,0.006359300476947536
ID1814401400,2015-12-04,2015,NA,23,0.0109628217349857
ID1814402800,2015-12-04,2015,CDU/CSU,18,0.013793103448275862
ID1814404000,2015-12-04,2015,DIE LINKE,-8,-0.012461059190031152
ID1814502400,2015-12-16,2015,NA,63,0.01998730964467005
ID1814603100,2015-12-17,2015,DIE LINKE,-1,-0.0014970059880239522
ID1814702200,2015-12-18,2015,SPD,19,0.018393030009680542
ID1814905100,2016-01-14,2016,BÜNDNIS 90/DIE GRÜNEN,-5,-0.006693440428380187
ID1814907600,2016-01-14,2016,SPD,14,0.022764227642276424
ID1815000300,2016-01-15,2016,NA,16,0.014828544949026877
ID1815001300,2016-01-15,2016,CDU/CSU,18,0.017208413001912046
ID1815002600,2016-01-15,2016,CDU/CSU,14,0.019553072625698324
ID1815003200,2016-01-15,2016,DIE LINKE,-3,-0.0057361376673040155
ID1815204100,2016-01-28,2016,SPD,9,0.01002227171492205
ID1815205000,2016-01-28,2016,SPD,-3,-0.0050933786078098476
ID1815205600,2016-01-28,2016,CDU/CSU,12,0.008559201141226819
ID1815206300,2016-01-28,2016,BÜNDNIS 90/DIE GRÜNEN,11,0.020637898686679174
ID1815210500,2016-01-28,2016,CDU/CSU,3,0.007058823529411765
ID1815212000,2016-01-28,2016,NA,1,0.002053388090349076
ID1815300200,2016-01-29,2016,DIE LINKE,-3,-0.004878048780487805
ID1815302100,2016-01-29,2016,DIE LINKE,-2,-0.00303951367781155
ID1815304300,2016-01-29,2016,BÜNDNIS 90/DIE GRÜNEN,0,0
ID1815304600,2016-01-29,2016,CDU/CSU,7,0.01338432122370937
ID1815305100,2016-01-29,2016,SPD,2,0.0028208744710860366
ID1815305200,2016-01-29,2016,CDU/CSU,14,0.02321724709784411
ID1815305300,2016-01-29,2016,SPD,31,0.036904761904761905
ID1815400700,2016-02-17,2016,SPD,7,0.015184381778741865
ID1815503400,2016-02-18,2016,DIE LINKE,-17,-0.026856240126382307
ID1815506000,2016-02-18,2016,SPD,10,0.01277139208173691
ID1815506600,2016-02-18,2016,CDU/CSU,-5,-0.004916420845624385
ID1815506900,2016-02-18,2016,CDU/CSU,-5,-0.00684931506849315
ID1815508500,2016-02-18,2016,CDU/CSU,10,0.024390243902439025
ID1815509000,2016-02-18,2016,DIE LINKE,-2,-0.0036363636363636364
ID1815601400,2016-02-19,2016,NA,11,0.012850467289719626
ID1815602500,2016-02-19,2016,CDU/CSU,-13,-0.019877675840978593
ID1815602900,2016-02-19,2016,DIE LINKE,6,0.00967741935483871
ID1815603000,2016-02-19,2016,SPD,18,0.0224159402241594
ID1815603300,2016-02-19,2016,SPD,-3,-0.005016722408026756
ID1815824400,2016-02-25,2016,CDU/CSU,-15,-0.018867924528301886
