rede_id,sitzung_datum,sitzung_jahr,redner_fraktion,redner_vorname,redner_nachname,kampfbegriffe,sentiment,sentiment_norm,pos_terme,neg_terme,kontext_laenge
ID1819910300,2016-11-10,2016,SPD,Karl-Heinz,Brunner,Genderideologie,-1,-0.01,4,5,101
ID1823701300,2017-06-01,2017,,Manuela,Schwesig,Genderwahn,2,0.019801980198019802,6,4,101
ID1824104800,2017-06-23,2017,DIE LINKE,Nicole,Gohlke,Genderideologie,-5,-0.05,6,11,101
ID1824105000,2017-06-23,2017,BÜNDNIS 90/DIE GRÜNEN,Katja,Dörner,Genderwahn,4,0.039603960396039604,10,6,101
ID19706500,2018-01-18,2018,CDU/CSU,Nadine,Schön,Genderwahn,-2,-0.019801980198019802,1,3,101
ID19707100,2018-01-18,2018,SPD,Sonja Amalie,Steffen,Genderideologie,1,0.009900990099009901,2,1,101
ID191204000,2018-02-02,2018,AfD,Marc,Jongen,Genderideologie,-1,-0.0049504950495049506,8,9,202
ID191306600,2018-02-21,2018,DIE LINKE,Caren,Lay,Genderwahn,0,0.0,4,4,101
ID191306900,2018-02-21,2018,SPD,Elisabeth,Kaiser,Genderwahn,1,0.009900990099009901,5,4,101
ID192701000,2018-04-20,2018,AfD,Thomas,Ehrhorn,Genderwahn,-2,-0.019801980198019802,2,4,101
ID193206100,2018-05-16,2018,AfD,Volker,Münz,Genderideologie,2,0.019801980198019802,5,3,101
ID194215700,2018-06-28,2018,AfD,Thomas,Seitz,Genderideologie,-2,-0.023529411764705882,4,6,85
ID194216100,2018-06-28,2018,CDU/CSU,Volker,Ullrich,Genderideologie,1,0.011235955056179775,3,2,89
ID194302300,2018-06-29,2018,AfD,Marc,Jongen,Genderideologie,1,0.009900990099009901,9,8,101
ID194406900,2018-07-03,2018,AfD,Beatrix,von Storch,Genderideologie,1,0.009900990099009901,5,4,101
ID194407600,2018-07-03,2018,AfD,Volker,Münz,Genderideologie,4,0.039603960396039604,5,1,101
ID194902300,2018-09-13,2018,AfD,Stephan,Brandner,Genderwahn,-2,-0.020618556701030927,6,8,97
ID195510300,2018-10-11,2018,AfD,Beatrix,von Storch,Genderideologie,-2,-0.02,3,5,101
ID195511000,2018-10-11,2018,CDU/CSU,Volker,Ullrich,Genderideologie,2,0.019801980198019802,7,5,101
ID196406900,2018-11-21,2018,AfD,Markus,Frohnmaier,Genderideologie,-3,-0.033707865168539325,5,8,89
ID196507200,2018-11-22,2018,AfD,Götz,Frömming,Genderideologie,4,0.04,8,4,101
ID198402400,2019-02-22,2019,DIE LINKE,Kathrin,Vogler,Genderideologie,3,0.0297029702970297,6,3,101
ID199006200,2019-03-22,2019,AfD,Thomas,Ehrhorn,Genderideologie,0,0.0,5,5,101
ID1910807600,2019-06-28,2019,AfD,Marc,Jongen,Genderideologie,-3,-0.01485148514851485,6,9,202
ID1915000200,2020-03-06,2020,AfD,Mariana Iris,Harder-Kühnel,Genderwahn,1,0.009900990099009901,5,4,101
ID1915001100,2020-03-06,2020,CDU/CSU,Marcus,Weinberg,Genderwahn,-20,-0.04950495049504951,10,30,404
