dateiname,jahr,kampfbegriff,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,kontext_laenge
Full_Record_2021-02-23.txt,2021,gender ideology,0.6705,0.062,0.026,0.912,202
Full_Record_2021-03-17.txt,2021,gender ideology,-0.968,0.106,0.149,0.745,303
Full_Record_2021-10-26.txt,2021,gender ideology,0.8641,0.139,0.091,0.77,202
Full_Record_2022-05-17.txt,2022,gender ideology,0.1548,0.098,0.084,0.818,101
Full_Record_2022-12-22.txt,2022,gender ideology,0.1764,0.031,0.025,0.944,101
Full_Record_2023-03-22.txt,2023,gender ideology,0.1685,0.079,0.067,0.855,202
Full_Record_2023-03-23.txt,2023,gender ideology,0.2748,0.063,0.056,0.88,404
Full_Record_2023-04-19.txt,2023,gender ideology,0.945,0.108,0.068,0.824,404
Full_Record_2023-04-26.txt,2023,gender ideology,0.9136,0.142,0.031,0.828,101
Full_Record_2023-07-12.txt,2023,gender ideology,0.8225,0.106,0.018,0.876,101
Full_Record_2023-07-13.txt,2023,gender ideology,0.7579,0.042,0.008,0.951,303
Full_Record_2023-07-14.txt,2023,gender ideology,0.5859,0.13,0.07,0.8,101
Full_Record_2023-07-18.txt,2023,gender ideology,-0.7184,0.091,0.117,0.792,101
Full_Record_2023-10-26.txt,2023,gender ideology,-0.0449,0.046,0.057,0.897,101
Full_Record_2023-11-08.txt,2023,gender ideology,0.0258,0.059,0.058,0.884,101
Full_Record_2023-12-06.txt,2023,gender ideology,-0.0516,0.029,0.021,0.95,101
Full_Record_2023-12-13.txt,2023,gender ideology,0.9042,0.173,0.078,0.75,101
Full_Record_2023-12-14.txt,2023,gender ideology,0.6908,0.086,0.044,0.87,101
Full_Record_2024-05-01.txt,2024,gender ideology,0.6808,0.054,0.0,0.946,101
Full_Record_2024-06-13.txt,2024,gender ideology,0.986,0.072,0.035,0.892,909
Full_Record_2024-09-25.txt,2024,gender ideology,0.7096,0.102,0.029,0.869,101
Full_Record_2024-12-10.txt,2024,gender ideology,0.7579,0.099,0.02,0.88,101
Full_Record_2025-01-14.txt,2025,gender ideology,0.3182,0.078,0.049,0.873,202
Full_Record_2025-02-05.txt,2025,gender ideology,0.9331,0.157,0.014,0.829,101
Full_Record_2025-02-06.txt,2025,gender ideology,-0.9171,0.036,0.099,0.864,202
Full_Record_2025-03-03.txt,2025,gender ideology,0.7184,0.091,0.027,0.882,101
Full_Record_2025-03-04.txt,2025,gender ideology,0.931,0.13,0.076,0.794,303
Full_Record_2025-04-03.txt,2025,gender ideology,0.5988,0.038,0.009,0.953,202
Full_Record_2025-06-10.txt,2025,gender ideology,-0.1531,0.02,0.026,0.954,101
Full_Record_2025-06-12.txt,2025,gender ideology,-0.2168,0.083,0.103,0.814,303
Full_Record_2025-07-10.txt,2025,gender ideology,0.4404,0.038,0.0,0.962,101
Full_Record_2025-07-16.txt,2025,gender ideology,0.9749,0.135,0.009,0.856,202
Full_Record_2025-09-09.txt,2025,gender ideology,-0.2849,0.038,0.067,0.895,101
Full_Record_2025-09-10.txt,2025,gender ideology,-0.5574,0.105,0.127,0.769,101
Full_Record_2025-09-16.txt,2025,gender ideology,-0.7717,0.114,0.161,0.724,101
Full_Record_2025-10-08.txt,2025,gender ideology,0.8779,0.089,0.019,0.893,202
Full_Record_2025-12-17.txt,2025,gender ideology,-0.3431,0.064,0.086,0.85,101
Full_Record_2022-09-22.txt,2022,gender theory,0.9062,0.134,0.025,0.841,101
