dateiname,begriff,year
Full_Record_2021-02-23.txt,gender ideology,2021
Full_Record_2021-03-17.txt,gender ideology,2021
Full_Record_2021-10-26.txt,gender ideology,2021
Full_Record_2022-05-17.txt,gender ideology,2022
Full_Record_2022-12-22.txt,gender ideology,2022
Full_Record_2023-03-22.txt,gender ideology,2023
Full_Record_2023-03-23.txt,gender ideology,2023
Full_Record_2023-04-19.txt,gender ideology,2023
Full_Record_2023-04-26.txt,gender ideology,2023
Full_Record_2023-07-12.txt,gender ideology,2023
Full_Record_2023-07-13.txt,gender ideology,2023
Full_Record_2023-07-14.txt,gender ideology,2023
Full_Record_2023-07-18.txt,gender ideology,2023
Full_Record_2023-10-26.txt,gender ideology,2023
Full_Record_2023-11-08.txt,gender ideology,2023
Full_Record_2023-12-06.txt,gender ideology,2023
Full_Record_2023-12-13.txt,gender ideology,2023
Full_Record_2023-12-14.txt,gender ideology,2023
Full_Record_2024-05-01.txt,gender ideology,2024
Full_Record_2024-06-13.txt,gender ideology,2024
Full_Record_2024-09-25.txt,gender ideology,2024
Full_Record_2024-12-10.txt,gender ideology,2024
Full_Record_2025-01-14.txt,gender ideology,2025
Full_Record_2025-02-05.txt,gender ideology,2025
Full_Record_2025-02-06.txt,gender ideology,2025
Full_Record_2025-03-03.txt,gender ideology,2025
Full_Record_2025-03-04.txt,gender ideology,2025
Full_Record_2025-04-03.txt,gender ideology,2025
Full_Record_2025-06-10.txt,gender ideology,2025
Full_Record_2025-06-12.txt,gender ideology,2025
Full_Record_2025-07-10.txt,gender ideology,2025
Full_Record_2025-07-16.txt,gender ideology,2025
Full_Record_2025-09-09.txt,gender ideology,2025
Full_Record_2025-09-10.txt,gender ideology,2025
Full_Record_2025-09-16.txt,gender ideology,2025
Full_Record_2025-10-08.txt,gender ideology,2025
Full_Record_2025-12-17.txt,gender ideology,2025
Full_Record_2022-09-22.txt,gender theory,2022
